First Name,Last Name,Retirement Season,Age,PP,2P,GB,GP,AB,PA,R,H,HR,AVG,OBP,SLG,OPS,1B,2B,3B,RBI,XBH,TB,SB,CS,BB,K,HBP,ISO,BABIP,SH,SF,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR
Giuseppe,Cacciatore,,29,CF,1B,460,474,1404,1590,236,393,79,.280,.354,.514,.868,236,64,14,283,157,722,91,24,150,200,18,.234,.276,4,14,3,0,3.4,17.8,.14,.09,.40,59.9,6.8,2.4,-5.5,0.9,64.5,6.5,18.4
Isabelle,Theodorus,2,38,2B,SS,106,160,277,311,31,66,12,.238,.311,.401,.711,46,7,1,38,20,111,3,1,25,97,5,.162,.318,2,2,3,1,1.9,23.1,.35,.08,.30,-1.9,0.1,2.4,-0.3,0.4,0.7,0.1,2.2
Phineas,Bell,12,42,1B,OF,769,914,2310,2543,326,619,71,.268,.327,.428,.755,406,128,14,285,213,988,49,18,173,517,37,.160,.316,10,13,8,0,2.8,32.5,.22,.07,.34,8.6,0.7,2.3,-20.1,1.7,-6.9,-0.7,16.7
Madden,Arroyo,14,42,C,,742,1109,2022,2234,262,519,39,.257,.318,.364,.682,385,91,4,203,134,735,71,23,169,446,20,.107,.310,10,13,1,14,2.0,51.8,.22,.08,.26,-46.1,2.8,2.2,14.1,1.2,-25.7,-2.6,12.6
Cortega,Dominguez,,27,CF,OF,416,561,1069,1195,149,260,25,.243,.315,.357,.673,193,37,5,104,67,382,35,15,100,330,14,.114,.328,9,3,4,1,2.1,42.8,.31,.08,.26,-32.6,1.0,2.2,-5.3,0.8,-33.9,-3.4,6.1
Coyote,Braxton-Carter,,31,2B,IF/OF,435,480,1339,1472,156,362,27,.270,.328,.373,.702,278,57,0,147,84,500,0,0,108,149,11,.103,.286,7,7,17,0,3.1,49.6,.11,.07,.23,-1.8,-1.1,2.2,1.7,0.9,1.8,0.2,11.5
Dab,Thicket,11,37,1B,,833,857,2622,2935,377,737,116,.281,.345,.477,.823,462,151,8,402,275,1252,28,9,242,461,32,.196,.299,8,31,5,0,3.4,22.6,.18,.08,.37,80.8,0.3,2.1,-24.7,1.8,60.3,6.1,26.1
Colt,York,15,40,C,,770,1187,2032,2276,203,521,37,.257,.322,.361,.683,384,98,2,204,137,734,7,8,178,373,26,.105,.295,23,18,1,15,1.9,54.9,.18,.08,.26,-31.2,-3.2,2.1,14.7,1.3,-16.3,-1.6,13.9
Gerty,Huang,13,38,RF,OF,767,914,2153,2368,306,580,63,.269,.329,.415,.744,404,102,11,263,176,893,73,18,177,524,20,.145,.328,8,10,13,1,2.6,34.2,.24,.07,.30,12.3,5.5,2.1,-6.2,1.4,15.1,1.5,17.7
Yousef,Franco,11,36,1B,,722,880,2171,2419,253,558,95,.257,.323,.437,.760,357,106,0,336,201,949,0,0,203,372,18,.180,.269,9,18,4,0,2.7,22.9,.17,.08,.36,17.1,-0.9,2.1,-21.4,1.6,-1.5,-0.2,16.3
Don,Ramirez,15,39,LF,1B/OF,886,1177,2474,2761,292,632,87,.255,.326,.420,.746,403,138,4,299,229,1039,14,13,240,610,25,.165,.305,11,11,15,0,2.3,28.4,.25,.09,.36,18.2,-4.3,2.1,7.0,1.3,24.3,2.4,21.3
Wheet,Lowery,,41,C,RF,119,560,283,310,29,72,1,.254,.317,.300,.618,61,10,0,18,11,85,1,0,23,70,3,.046,.335,1,0,0,0,0.6,283.0,.25,.07,.15,-15.9,-0.1,2.1,2.4,0.2,-11.3,-1.1,1.5
Sincere,Cabbagestalk,,25,CF,OF,106,161,264,296,49,55,10,.208,.284,.348,.632,39,5,1,38,16,92,7,2,24,68,5,.140,.238,0,3,0,0,1.8,26.4,.26,.08,.29,-21.7,-0.3,2.1,-1.9,0.3,-21.4,-2.1,1.4
Rylan,Huey,12,39,C,,604,960,1458,1635,174,363,33,.249,.320,.357,.677,272,57,1,157,91,521,28,6,138,476,17,.108,.346,16,6,3,7,1.7,44.2,.33,.08,.25,-24.3,2.3,2.1,11.5,0.9,-7.6,-0.8,10.4
Daytah,Lorre,,37,3B,SS,173,358,462,510,52,125,8,.271,.335,.379,.713,91,26,0,47,34,175,1,0,36,114,9,.108,.343,2,1,9,0,1.4,57.8,.25,.07,.27,-3.5,-0.2,2.1,0.1,0.3,-1.2,-0.1,3.5
Artichoke,Locos,,38,C,1B,366,800,911,1004,75,206,12,.226,.286,.305,.591,158,36,0,102,48,278,4,1,71,226,8,.079,.285,7,7,1,3,1.3,75.9,.25,.07,.23,-49.8,-0.3,2.1,13.0,0.4,-34.6,-3.5,3.4
Lukas,Sanbrontszen,,27,RF,LF,600,641,1798,2011,239,466,88,.259,.328,.459,.787,283,95,0,275,183,825,1,2,173,457,19,.200,.298,6,15,10,0,3.1,20.4,.25,.09,.39,15.9,-1.9,2.1,-24.6,1.0,-7.5,-0.8,14.5
Jacques,Ramirez,15,41,C,1B,812,1177,2264,2523,280,578,92,.255,.321,.423,.744,387,95,4,332,191,957,0,1,205,532,23,.167,.293,13,18,0,16,2.1,24.6,.23,.08,.33,9.1,-1.7,2.1,28.6,1.1,39.2,4.0,21.2
Maria,Orozco,15,39,2B,SS,349,416,1027,1150,148,277,39,.270,.341,.444,.785,181,52,5,154,96,456,23,11,101,208,14,.174,.303,2,6,19,0,2.8,26.3,.20,.09,.35,20.0,-1.1,2.1,-0.8,0.2,20.3,2.1,9.9
Bober,Jackson Jr.,,26,LF,OF,336,407,1012,1110,101,244,15,.241,.301,.330,.631,186,41,2,97,58,334,10,6,73,219,16,.089,.293,5,4,5,0,2.7,67.5,.22,.07,.24,-45.4,-1.3,2.1,3.8,0.8,-40.1,-4.0,5.2
Mew,Dewpole,16,41,1B,,1143,1190,3607,4018,467,982,136,.272,.335,.446,.781,639,196,11,550,343,1608,39,23,325,503,34,.174,.281,14,38,8,0,3.4,26.5,.14,.08,.35,50.5,-4.4,2.0,-33.9,2.3,16.5,1.7,29.1
Marlon,Sanders,,33,RF,1B/OF,584,719,1575,1757,171,362,38,.230,.300,.345,.644,260,61,3,169,102,543,5,8,148,413,13,.115,.286,11,10,10,0,2.4,41.4,.26,.08,.28,-53.6,-3.3,2.0,-0.6,0.8,-54.7,-5.6,7.7
Ma,Soul,,27,CF,OF,551,585,1836,S7,263,494,68,.269,.330,.446,.776,315,102,9,235,179,818,54,21,154,226,20,.176,.274,4,14,6,0,3.5,27.0,.12,.08,.36,0.6,-0.2,2.0,-6.9,1.0,-3.4,-0.3,15.4
Malakai,Cortes,,30,3B,IF,722,800,2009,2227,194,510,41,.254,.314,.366,.681,369,97,3,250,141,736,7,3,168,376,18,.112,.291,12,20,37,1,2.8,49.0,.19,.08,.28,-41.4,-1.4,2.0,18.1,0.9,-21.8,-2.2,14.7
Tycho,Raikkonen,,24,SS,2B,54,81,146,164,23,41,7,.281,.350,.473,.822,27,7,0,17,14,69,4,3,16,46,0,.192,.362,1,1,3,0,2.0,20.9,.32,.10,.34,23.0,-1.5,2.0,-1.3,0.3,22.6,2.3,5.2
Kelvin,Petersen,17,37,CF,OF,610,848,1734,1913,217,480,38,.277,.334,.399,.732,349,89,4,200,131,691,10,6,133,288,21,.122,.311,13,12,5,3,2.3,45.6,.17,.07,.27,-3.4,-1.9,2.0,-6.7,0.7,-9.2,-0.9,12.1
Sean,Buck,,36,C,LF,183,588,468,522,62,128,17,.274,.340,.438,.778,86,24,1,74,42,205,2,0,41,138,8,.165,.350,1,4,0,1,0.9,27.5,.29,.08,.33,10.4,0.0,2.0,8.1,0.3,20.9,2.1,6.2
Amari,Tropicus,,31,C,1B,802,960,2556,2834,343,664,74,.260,.327,.404,.731,449,136,5,254,215,1032,10,8,238,402,24,.144,.282,6,10,3,10,3.0,34.5,.16,.08,.32,14.6,-3.4,2.0,30.2,1.2,44.5,4.5,25.1
Auburn,Pennyback,19,38,CF,1B,214,243,602,670,55,142,10,.236,.300,.336,.635,103,28,1,53,39,202,11,2,54,185,4,.100,.319,3,7,0,0,2.8,60.2,.31,.08,.27,-22.0,0.9,2.0,-2.3,0.5,-20.9,-2.1,2.4
Rocco,Salonen,11,39,3B,1B/OF,425,780,1149,1276,142,297,27,.258,.320,.379,.699,214,54,2,112,83,436,11,9,98,224,11,.121,.297,7,11,13,0,1.6,42.6,.19,.08,.28,-13.5,-2.2,2.0,-0.5,1.0,-13.2,-1.3,7.4
Bere,Kanto,,37,C,,414,594,1195,1324,146,326,44,.273,.335,.441,.776,214,67,1,170,112,527,4,3,99,266,17,.168,.316,6,7,1,5,2.2,27.2,.22,.07,.34,14.9,-1.2,2.0,8.9,0.7,25.3,2.6,12.7
Bertram,Hoj,,37,LF,RF,179,431,448,514,59,113,10,.252,.335,.379,.714,77,25,1,59,36,170,5,0,52,98,6,.127,.299,3,5,0,1,1.2,44.8,.22,.10,.32,2.4,0.6,2.0,1.8,0.3,7.0,0.7,4.3
Ty,Summers,17,42,CF,1B/OF,1061,1212,3098,3454,458,835,92,.270,.337,.418,.755,566,169,8,411,269,1296,121,38,287,758,37,.149,.328,12,20,14,0,2.8,33.7,.24,.08,.32,25.3,5.6,1.9,-8.7,2.1,26.3,2.6,26.2
Juice,Magoose,,34,CF,1B/OF,451,495,1341,1502,201,380,50,.283,.352,.459,.812,252,70,8,189,128,616,65,16,136,283,12,.176,.324,3,10,4,1,3.0,26.8,.21,.09,.34,23.7,4.8,1.9,-4.2,0.8,27.0,2.8,14.4
Maximus,Power,,35,SS,3B,734,751,2209,2468,262,565,75,.256,.322,.410,.732,379,106,5,308,186,906,16,10,203,398,24,.154,.279,10,22,48,1,3.3,29.5,.18,.08,.33,4.5,-3.0,1.9,6.5,1.0,11.0,1.1,19.7
Tick,Doff,6,40,C,RF,263,410,730,838,96,199,23,.273,.353,.422,.774,137,38,1,94,62,308,0,1,82,98,13,.149,.285,4,9,0,4,2.0,31.7,.13,.10,.31,2.0,-0.6,1.9,4.2,0.7,8.2,0.8,6.5
Lexi,Growles,,37,RF,1B/OF,912,931,2831,3176,394,784,139,.277,.345,.486,.831,474,166,5,425,310,1377,6,8,283,512,24,.209,.292,11,27,16,0,3.4,20.4,.18,.09,.40,101.2,-4.3,1.9,-0.9,1.2,99.1,10.1,32.4
Arya,Golden,1,33,SS,IF,34,80,35,39,21,11,1,.314,.385,.429,.813,9,1,0,5,2,15,3,4,3,5,1,.114,.345,0,0,0,0,0.5,35.0,.14,.08,.18,0.9,-1.2,1.9,0.4,0.0,2.1,0.2,0.5
Warming,Bernabel,,24,1B,3B,73,80,212,236,29,66,10,.311,.369,.505,.874,45,11,0,29,21,107,0,1,20,37,0,.193,.337,3,1,1,0,3.0,21.2,.17,.08,.32,14.6,-0.5,1.9,-2.5,0.4,13.8,1.4,4.6
Beetle,Shields,14,38,2B,3B,226,911,554,608,61,135,18,.244,.298,.372,.670,100,17,0,57,35,206,2,1,43,171,2,.128,.316,4,5,12,0,0.7,30.8,.31,.07,.26,-13.4,-0.3,1.9,2.0,0.3,-9.5,-1.0,3.1
Phil,Serrano,11,36,3B,,695,863,2064,2313,262,465,104,.225,.299,.420,.719,272,88,1,302,193,867,2,0,204,616,20,.195,.265,8,17,44,0,2.7,19.8,.30,.09,.42,-21.4,-0.5,1.9,10.8,1.4,-7.7,-0.8,15.0
Cora,Offside,1,40,3B,1B,79,80,258,279,30,68,9,.264,.313,.434,.747,42,17,0,40,26,112,0,0,16,43,3,.171,.285,1,1,2,0,3.5,28.7,.17,.06,.38,-1.5,0.0,1.9,-0.5,0.3,0.1,0.0,1.9
Mitchell,Pitts,,37,LF,OF,505,775,1541,1701,190,406,55,.263,.325,.422,.747,273,77,1,209,133,650,3,6,130,291,15,.158,.291,5,10,7,0,2.2,28.0,.19,.08,.33,10.6,-3.2,1.9,4.6,0.5,14.5,1.5,13.1
Chewie,Crosby,,21,CF,OF,143,158,463,521,68,125,9,.270,.342,.384,.727,92,22,2,55,33,178,10,4,47,42,6,.114,.279,1,4,1,0,3.3,51.4,.09,.09,.26,1.1,-0.3,1.9,-2.4,0.5,0.7,0.1,5.6
Alfie,Minkleshneider,,27,1B,C,294,506,860,954,94,218,23,.253,.312,.388,.700,149,45,1,120,69,334,2,1,68,198,9,.135,.300,7,10,0,0,1.9,37.4,.23,.07,.32,-18.4,-0.7,1.9,-2.1,0.6,-18.8,-1.9,6.1
Farchamp,Zamboni,,20,LF,RF,71,80,206,235,33,58,13,.282,.366,.500,.866,39,6,0,36,19,103,0,0,27,51,1,.218,.315,0,1,0,0,2.9,15.8,.25,.11,.33,11.4,-0.3,1.8,1.4,0.4,14.8,1.5,4.7
Aurelia,Rosales,,33,3B,,1065,1103,3330,3684,477,829,155,.249,.312,.453,.765,484,166,24,481,345,1508,114,43,279,802,38,.204,.281,11,26,70,0,3.3,21.5,.24,.08,.42,21.3,2.7,1.8,17.1,1.6,44.6,4.5,30.5
Mateo,David,14,41,1B,C,940,1032,2818,3183,351,737,129,.262,.333,.451,.784,462,144,2,434,275,1272,1,0,285,525,35,.190,.276,8,37,4,4,3.1,21.8,.19,.09,.37,48.3,-1.2,1.8,-5.4,1.9,45.4,4.6,26.3
Toronto,Mann,,37,3B,SS,204,526,535,616,61,141,16,.264,.349,.378,.726,112,13,0,56,29,202,10,2,61,126,11,.114,.315,5,4,11,0,1.2,33.4,.24,.10,.21,1.3,0.7,1.8,0.2,0.2,4.2,0.4,4.6
Brady,Gonzales,10,40,1B,3B,439,723,1189,1344,130,301,26,.253,.324,.366,.690,223,48,4,129,78,435,14,6,111,241,20,.113,.294,11,13,8,0,1.9,45.7,.20,.08,.26,-14.6,-0.3,1.8,-7.6,1.0,-19.7,-2.0,7.2
Big,Salad,8,31,C,RF,417,640,1224,1383,189,360,66,.294,.359,.525,.885,210,83,1,203,150,643,0,1,124,268,11,.231,.323,5,19,0,9,2.2,18.5,.22,.09,.42,62.0,-0.9,1.8,6.7,1.0,70.6,7.1,16.5
Niko,Rosales,15,40,CF,1B/OF,275,309,841,930,113,219,38,.260,.321,.442,.764,143,37,1,128,76,372,7,3,74,229,5,.182,.312,3,7,2,0,3.0,22.1,.27,.08,.35,10.4,-0.5,1.8,-2.3,0.2,9.6,1.0,7.3
Catan,Settler,,31,C,,489,561,1492,1656,193,362,80,.243,.308,.452,.760,212,68,2,251,150,674,2,2,128,382,19,.209,.271,5,12,0,11,3.0,18.7,.26,.08,.41,-0.2,-1.4,1.8,10.2,0.9,11.2,1.2,13.4
Fred,Sherman,10,35,C,OF,572,786,1588,1754,178,372,59,.234,.297,.386,.684,249,64,0,195,123,613,0,2,137,390,11,.152,.272,6,12,2,8,2.2,26.9,.25,.08,.33,-29.6,-1.5,1.8,23.5,1.1,-4.7,-0.4,11.5
Dave,Blevins,,38,CF,IF/OF,232,716,357,397,117,91,1,.255,.315,.317,.631,71,19,0,37,20,113,30,9,28,88,4,.062,.333,6,2,6,0,0.6,357.0,.25,.07,.22,-15.6,1.6,1.8,3.5,0.2,-8.6,-0.9,2.0
P.T.,Beenil,,27,3B,1B,269,614,653,716,96,159,5,.243,.297,.317,.614,126,23,5,44,33,207,22,6,48,147,4,.074,.304,6,5,10,3,1.2,130.6,.23,.07,.21,-25.1,1.0,1.8,-2.0,0.5,-23.8,-2.4,2.9
Sludge,Grimer,,23,C,1B,247,320,737,818,85,192,12,.261,.326,.362,.689,142,37,1,67,50,267,0,1,65,98,9,.102,.285,3,4,0,2,2.6,61.4,.13,.08,.26,-23.4,-1.0,1.7,10.9,0.7,-11.1,-1.1,5.9
Memphis,Ross,,29,1B,LF,696,794,2173,2407,264,593,62,.273,.334,.422,.757,396,131,4,273,197,918,9,12,180,313,29,.150,.293,8,17,5,0,3.0,35.0,.14,.07,.33,-3.2,-6.2,1.7,-11.3,1.1,-18.0,-1.8,16.3
Alphonso,Delano,15,34,RF,LF,254,265,779,879,94,205,22,.263,.338,.393,.731,148,35,0,80,57,306,3,5,85,173,7,.130,.310,1,7,3,0,3.3,35.4,.22,.10,.28,3.0,-2.2,1.7,-9.3,0.1,-6.6,-0.7,5.4
Sigourney,Blair,,29,2B,SS,298,306,918,1026,112,223,45,.243,.313,.441,.754,134,41,3,133,89,405,1,4,90,198,7,.198,.261,4,7,17,0,3.4,20.4,.22,.09,.40,2.6,-2.3,1.7,-0.9,0.9,2.1,0.2,8.9
Ryker,Odom,,41,2B,SS,432,721,1137,1256,136,281,32,.247,.307,.378,.685,197,51,1,140,84,430,3,2,92,321,10,.131,.314,7,10,24,0,1.7,35.5,.28,.07,.30,-14.0,-1.9,1.7,-1.2,0.7,-14.7,-1.5,8.2
Grady,Wyronski,,22,C,,152,240,381,424,46,104,9,.273,.334,.399,.733,75,19,1,48,29,152,4,1,34,73,3,.126,.314,2,4,1,0,1.8,42.3,.19,.08,.28,-5.8,0.0,1.7,3.7,0.3,-0.1,0.0,3.9
Plunder,Grant,9,39,C,,381,661,1113,1233,145,271,55,.243,.309,.431,.741,172,44,0,146,99,480,0,0,90,290,19,.188,.279,5,6,0,7,1.9,20.2,.26,.07,.37,-3.1,-0.3,1.6,7.3,1.0,6.5,0.6,9.1
Eliza,Dominique,10,35,2B,SS,608,739,1704,1901,223,444,48,.261,.328,.405,.733,298,94,4,214,146,690,13,5,159,386,17,.144,.310,12,9,35,1,2.6,35.5,.23,.08,.33,10.6,-0.5,1.6,-1.5,1.1,11.4,1.1,14.1
Shiny,Harrington,7,37,LF,,237,524,706,788,91,190,25,.269,.335,.436,.771,125,37,3,89,65,308,5,2,65,118,8,.167,.289,2,7,1,0,1.5,28.2,.17,.08,.34,11.3,0.0,1.6,-0.1,0.8,13.5,1.3,6.7
Raymond,Lancely,9,41,1B,,547,586,1699,1895,225,440,52,.259,.328,.409,.737,290,97,1,219,150,695,0,0,159,224,21,.150,.270,4,12,3,0,3.2,32.7,.13,.08,.34,-1.4,-0.6,1.6,-16.2,1.4,-15.2,-1.6,11.3
Isaiah,Higharch,11,37,3B,SS,689,811,1888,2101,236,477,55,.253,.318,.396,.713,321,97,4,236,156,747,5,3,166,501,19,.143,.314,16,12,43,0,2.6,34.3,.27,.08,.33,-14.1,-1.2,1.6,0.6,1.4,-11.7,-1.2,13.2
Geoff,Bahzoes,,29,2B,SS,519,640,1405,1564,144,337,25,.240,.301,.332,.633,259,51,2,152,78,467,6,4,119,304,11,.093,.285,12,17,31,0,2.4,56.2,.22,.08,.23,-65.3,-1.7,1.6,-1.4,0.9,-65.8,-6.6,5.4
Johnny,Yoder,19,39,3B,SS,138,193,396,425,31,101,3,.255,.300,.318,.618,82,16,0,27,19,126,0,0,25,68,1,.063,.300,1,2,7,0,2.2,132.0,.17,.06,.19,-16.3,-0.2,1.6,0.1,0.1,-14.7,-1.5,1.4
Darigold,Tillamook,,24,CF,1B/OF,88,400,173,196,12,51,1,.295,.378,.353,.730,43,7,0,21,8,61,2,3,21,47,2,.058,.400,0,0,0,0,0.5,173.0,.27,.11,.16,-0.9,-1.4,1.6,-1.1,0.2,-1.6,-0.2,1.9
Nicholas,Chang,5,42,1B,3B,85,216,230,268,30,56,2,.243,.345,.335,.679,39,15,0,31,17,77,0,1,33,42,3,.091,.289,1,1,0,0,1.2,115.0,.18,.12,.30,-4.3,-0.5,1.6,-1.5,0.3,-4.5,-0.4,1.4
Bryce,Rose,,27,LF,RF,167,529,369,411,79,83,8,.225,.297,.320,.616,64,11,0,37,19,118,19,5,33,108,5,.095,.295,3,1,1,0,0.8,46.1,.29,.08,.23,-18.8,2.2,1.6,1.8,0.2,-13.1,-1.3,1.7
Fleep,Kickey,19,43,RF,LF,540,1302,1534,1699,179,408,32,.266,.327,.385,.711,294,78,4,168,114,590,4,4,125,311,18,.119,.313,12,10,9,0,1.3,47.9,.20,.07,.28,-11.3,-1.8,1.6,-19.8,0.8,-30.5,-3.1,8.5
Monster,Launcheros,,30,2B,3B,316,321,957,1069,118,274,40,.286,.354,.470,.824,178,56,0,151,96,450,0,0,94,126,10,.184,.294,2,6,20,0,3.3,23.9,.13,.09,.35,31.3,-0.8,1.5,3.4,0.9,36.4,3.7,12.8
Ridge,Curry,13,41,C,LF,334,960,804,903,81,173,13,.215,.287,.296,.583,134,26,0,78,39,238,0,1,75,240,9,.081,.287,8,7,1,5,0.9,61.8,.30,.08,.23,-38.8,-0.8,1.5,12.8,0.4,-24.9,-2.5,3.6
Einhardt,Dampflok,,22,RF,,198,238,607,686,85,169,16,.278,.351,.397,.748,131,20,2,69,38,241,3,2,67,108,4,.119,.314,3,5,4,3,2.9,37.9,.18,.10,.22,5.8,-2.5,1.5,-10.0,0.5,-4.7,-0.5,5.9
Salvador,Mancini,,28,1B,LF,234,240,704,789,91,177,32,.251,.321,.449,.770,102,43,0,106,75,316,0,1,68,118,8,.197,.258,2,7,0,0,3.3,22.0,.17,.09,.42,13.9,-1.4,1.5,-4.6,0.6,10.0,1.0,8.3
Thiago,Mitchell,10,38,RF,,142,665,377,418,41,94,9,.249,.311,.379,.690,65,18,2,41,29,143,1,6,30,112,4,.130,.331,6,1,2,0,0.6,41.9,.30,.07,.31,-5.2,-2.7,1.5,-5.1,0.3,-11.1,-1.1,1.7
Valdomiro,Takeda,,25,3B,IF/OF,389,400,1255,1393,196,353,39,.281,.341,.444,.785,235,71,8,132,118,557,52,15,111,244,8,.163,.319,8,11,21,0,3.5,32.2,.19,.08,.33,44.4,5.8,1.5,-10.0,1.0,42.7,4.3,15.7
Belle,Bottoms,,22,C,RF,178,240,481,536,57,133,12,.277,.341,.389,.730,103,18,0,67,30,187,0,0,44,78,5,.112,.306,2,4,0,2,2.2,40.1,.16,.08,.23,-12.1,-0.4,1.5,3.7,0.4,-6.8,-0.7,4.2
Royce,Blake,16,41,3B,2B,1202,1230,3712,4145,566,1018,165,.274,.338,.477,.816,618,211,24,598,400,1772,103,34,345,656,34,.203,.291,16,38,67,0,3.4,22.5,.18,.08,.39,93.8,3.4,1.5,-33.7,2.3,67.3,6.8,35.1
Emmet,Arellano,,40,RF,OF,972,1492,2734,3061,346,696,89,.255,.325,.402,.727,475,129,3,326,221,1098,4,2,256,585,38,.147,.292,15,18,18,0,2.1,30.7,.21,.08,.32,-14.2,-1.5,1.5,-8.0,1.7,-20.5,-2.1,19.1
Erik,Sigrun,,30,SS,2B,601,640,1743,1932,211,435,48,.250,.314,.383,.696,300,86,1,186,135,667,2,2,152,348,16,.133,.285,9,12,39,0,3.0,36.3,.20,.08,.31,-27.3,-1.7,1.4,-6.6,1.0,-33.1,-3.4,11.6
Drew,Davis,5,40,SS,2B,199,290,509,561,48,131,6,.257,.318,.348,.666,97,28,0,60,34,177,0,0,38,132,8,.090,.335,4,2,11,0,1.9,84.8,.26,.07,.26,-12.8,-0.1,1.4,-1.9,0.6,-12.9,-1.3,2.5
Edward,Shavewell,19,41,1B,,302,738,893,992,89,223,11,.250,.316,.344,.660,163,47,2,82,60,307,10,4,82,170,6,.094,.296,7,4,1,0,1.3,81.2,.19,.08,.27,-17.7,-0.4,1.4,-9.0,0.2,-25.5,-2.6,4.2
Jamelius,Kramilius,,25,SS,2B,192,240,530,592,76,131,20,.247,.320,.425,.744,79,30,2,69,52,225,42,5,50,160,8,.177,.314,1,3,12,0,2.5,26.5,.30,.08,.40,-8.8,6.5,1.4,-2.1,0.3,-2.6,-0.3,4.0
Grant,Sawhorse III,,39,1B,,299,562,789,871,81,188,24,.238,.297,.379,.676,127,35,2,104,61,299,9,5,64,228,5,.141,.301,5,8,1,0,1.5,32.9,.29,.07,.32,-16.1,-0.9,1.4,-8.9,0.2,-24.3,-2.5,3.5
Ahmed,Farahani,,33,1B,,872,907,2711,2996,398,738,120,.272,.334,.467,.801,458,151,9,403,280,1267,63,24,234,655,25,.195,.316,8,18,5,0,3.3,22.6,.24,.08,.38,68.3,-1.3,1.4,-28.0,1.1,41.5,4.2,26.4
Alfredo,Tijuana,12,39,1B,,619,821,1775,1971,218,428,72,.241,.309,.401,.710,288,68,0,231,140,712,15,5,163,598,15,.160,.319,8,10,4,0,2.4,24.7,.34,.08,.33,-15.4,0.0,1.4,-18.4,1.2,-31.2,-3.2,10.3
Milana,McKenzie,10,42,C,1B,396,781,1106,1245,120,280,39,.253,.323,.411,.735,183,58,0,162,97,455,0,0,112,200,9,.158,.274,4,14,0,7,1.6,28.4,.18,.09,.35,-2.3,-0.4,1.4,13.9,0.9,13.5,1.4,9.9
Kaylani,Love,,30,RF,OF,473,480,1482,1642,198,403,55,.272,.329,.451,.781,255,85,8,208,148,669,35,16,123,283,12,.179,.300,8,17,8,0,3.4,26.9,.19,.07,.37,14.0,-1.1,1.4,-4.5,1.1,10.8,1.1,14.2
Furby,Funderberg,,22,CF,1B,170,240,389,436,62,94,12,.242,.318,.393,.711,61,19,2,56,33,153,21,2,41,119,3,.152,.317,2,1,1,0,1.8,32.4,.31,.09,.35,-2.4,2.9,1.4,-2.5,0.3,-0.3,-0.1,4.1
Chappie,Johnson,,33,CF,1B,150,160,463,512,61,124,15,.268,.328,.406,.734,92,15,2,57,32,188,7,4,42,89,0,.138,.303,6,1,1,0,3.2,30.9,.19,.08,.26,23.9,-1.4,1.4,-2.5,0.5,21.8,2.2,7.6
Abigail,Morose,19,32,SS,IF,705,720,1994,2204,229,481,37,.241,.303,.344,.646,353,89,2,184,128,685,2,5,167,445,17,.102,.290,8,18,48,0,3.1,53.9,.22,.08,.27,-70.1,-3.1,1.4,8.8,0.9,-62.2,-6.3,8.7
Elias,Lougheed,11,35,1B,,291,361,902,1013,102,231,18,.256,.325,.359,.685,175,37,1,100,56,324,5,3,89,187,9,.103,.301,2,11,1,0,2.8,50.1,.21,.09,.24,-8.0,-1.0,1.3,-8.6,0.3,-15.9,-1.6,5.3
Mae,Whackett,17,42,2B,SS,980,1309,2821,3122,423,765,86,.271,.332,.428,.760,511,153,15,354,254,1206,61,22,244,671,23,.156,.326,14,20,59,0,2.4,32.8,.24,.08,.33,16.8,0.8,1.3,-2.4,1.6,18.3,1.9,23.2
Top,Hood,11,44,C,1B,432,786,1224,1368,145,321,34,.262,.330,.402,.732,219,67,1,136,102,492,2,1,119,222,10,.140,.294,6,9,0,8,1.7,36.0,.18,.09,.32,5.4,-0.7,1.3,15.2,0.8,22.0,2.2,11.5
Teal,Church Jr,11,41,LF,RF,711,851,2161,2405,304,606,119,.280,.345,.505,.850,364,118,5,371,242,1091,12,14,212,520,10,.224,.317,6,16,10,0,2.8,18.2,.24,.09,.40,82.6,-4.8,1.3,6.9,1.5,87.6,8.9,25.3
Killer,Solis,6,42,CF,OF,372,458,1083,1195,143,264,40,.244,.307,.404,.712,176,42,6,135,88,438,8,9,89,302,13,.161,.300,4,6,4,0,2.6,27.1,.28,.07,.33,-7.7,-2.7,1.3,-4.1,1.0,-12.2,-1.3,6.9
Ember,Testa,18,40,C,,667,1396,1718,1907,176,388,39,.226,.296,.336,.631,280,66,3,156,108,577,10,5,164,578,10,.110,.314,6,9,1,14,1.4,44.1,.34,.09,.28,-70.5,-1.2,1.3,12.7,0.8,-57.0,-5.8,7.2
Egon,Kosma,,29,3B,2B,158,160,480,523,46,116,15,.242,.287,.396,.682,76,21,4,55,40,190,6,3,28,109,5,.154,.278,3,7,10,0,3.3,32.0,.23,.05,.34,5.7,0.2,1.3,-6.7,0.5,1.0,0.1,5.5
Francesca,Ali,6,38,C,1B,309,397,939,1046,114,244,19,.260,.328,.379,.707,170,55,0,99,74,356,0,0,84,131,14,.119,.283,3,6,0,5,2.6,49.4,.14,.08,.30,-8.2,-0.4,1.3,10.9,0.8,4.4,0.5,7.6
